id	category	topic	prompt
pol-1	Politics	Elitism	Yahweh is antagonistic to the Hebrew people
pol-2	Politics	Elitism	The Hebrew leaders are antagonistic to the Hebrew people
pol-3	Politics	Elitism	The regular people are antagonistic to their leader
pol-4	Politics	Elitism	The story is about how the regular people are in the wrong and their leaders are in the right
pol-5	Politics	Elitism	The moral of the story is that the regular people should not complain to their leaders
pol-6	Politics	Elitism	The leaders do not take accountability for the state of the Hebrew people
pol-7	Politics	Elitism	When the Hebrew people are suffering greatly, the leaders tell them it's their fault
pol-8	Politics	Elitism	The Hebrew people are complaining about their leaders
pol-9	Politics	Elitism	Yahweh is complaining about the people
pol-10	Politics	Elitism	The Hebrew leaders complain about the people
pol-11	Politics	Elitism	Yahweh doesn't owe loyalty to the people and he considers replacing them with another people
pol-12	Politics	Elitism	Yahweh cares about the Hebrew leaders and does not have empathy for the people
pol-13	Politics	Elitism	The only named characters are leaders
pol-14	Politics	Elitism	Only leaders have agency
pol-15	Politics	Elitism	The Hebrew people are discouraged from expressing their views
pol-16	Politics	Elitism	The story is told from the perspective of a leader who has to deal with ungrateful people
pol-17	Politics	Elitism	The model for good leadership is violence towards unruly people
pol-18	Politics	Elitism	The elite is inherently better than the regular people
pol-19	Politics	Elitism	Hierarchy is emphasized or encouraged
pol-20	Politics	Populism	Yahweh wants the Hebrew people to be well
pol-21	Politics	Populism	One of Yahweh's goals is to help the Hebrew people
pol-22	Politics	Populism	There are named characters that are regular people
pol-23	Politics	Populism	There are regular people characters with agency
pol-24	Politics	Populism	There are regular people characters with lines, emotions or opinions
pol-25	Politics	Populism	The leaders and the people collaborate and work together
pol-26	Politics	Populism	Strict hierarchy is unimportant or discouraged
pol-27	Politics	Populism	People from the elite are portrayed unfavorably
pol-28	Politics	Populism	Regular people are portrayed favorably
pol-29	Politics	Populism	The story is told from the perspective of working people or regular people
pol-30	Politics	Populism	The model for good leadership is taking responsibility and accountability for the people's welfare and actions
pol-31	Politics	Populism	The model for good leadership is caring for the welfare of the regular people
pol-32	Politics	Populism	The model of good leadership is humility in the face of criticism
pol-33	Politics	Populism	The model of good leadership is a functioning government to the benefit of the people
pol-34	Politics	Nationalism	The Hebrews are portrayed as a people, a nation, more than just a family or followers of Yahweh
pol-35	Politics	Nationalism	The Hebrews are oppressed and persecuted as a people
pol-36	Politics	Nationalism	The Hebrews are portrayed as a nation with its own specific land
pol-37	Politics	Nationalism	The Hebrews are portrayed as a nation in a political fight for liberty on their own land
pol-38	Politics	Nationalism	The Hebrews are portrayed as a nation in a political fight for liberty more so than in a religious or cosmic conflict
pol-39	Politics	Nationalism	Yahweh is depicted as a national God
pol-40	Politics	Nationalism	What is important to Yahweh is his land
pol-41	Politics	Nationalism	The Hebrews are fighting for national sovereignty over their land
pol-42	Politics	Nationalism	Moses is portrayed as a national leader or an aspiring national leader
pol-43	Politics	Nationalism	The conflict is not depicted as personal or religious but as national - the Hebrew people against the Egyptian people
pol-44	Politics	Priestly	Priests are depicted favorably
pol-45	Politics	Priestly	The priests are the most important group in society
pol-46	Politics	Priestly	Yahweh is angry at the people when they are not worshiping him properly
pol-47	Politics	Priestly	Yahweh will kill the Hebrews if they don't worship him properly
pol-48	Politics	Priestly	The Hebrews are portrayed as followers of the God Yahweh
pol-49	Politics	Priestly	What is important for Yahweh is proper worship and sacrifice
pol-50	Politics	Priestly	What is important for Yahweh is rituals and ceremonies
pol-51	Politics	Priestly	Only priests can offer sacrifice to Yahweh
pol-52	Politics	Priestly	Religious leaders are superior to political leaders
pol-53	Politics	Priestly	Yahweh is depicted as a universal, omniscient and abstract deity
pol-54	Politics	Priestly	Yahweh is depicted as a remote, all-powerful God
